Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)
0.683959163	1.616734743	7.069557667	106617.6719
0.68401714	1.629411697	7.031860352	106607.9531
0.684074954	1.61593008	7.071956158	106597.2578
0.684132855	1.620412111	7.058605671	106602.6484
0.684190757	1.312817693	8.025894165	106596.2344
0.684248618	-0.629289508	19.8100338	106584.5391
0.684306473	-0.551067174	18.85777092	106597.2813
0.684364364	-0.417493343	17.43939018	106591.1406
0.684422179	-0.358195365	16.8768692	106576.9297
0.684480073	-0.250537008	15.9400816	106584.6406
0.684537971	0.396037579	11.77881622	106583.3047
0.684595861	3.396950007	2.926258326	106582.0156
0.684653744	3.390813828	2.937630892	106568.2266
0.684711595	3.388410091	2.942090035	106585.6016
0.684769393	3.386752605	2.945166111	106576.4453
0.684827247	3.381764412	2.954430103	106578.2734
0.684885108	3.380916596	2.956005573	106569.5703
0.684943026	3.375107765	2.966808081	106578.0234
0.685000881	3.369497299	2.977254391	106552.6172
0.685058783	3.363474846	2.98848176	106564.8438
0.685116666	3.358572483	2.997631788	106543.5859
0.685174525	3.348104954	3.017200947	106540.7031
0.685232404	3.340037584	3.032313108	106534.125
0.685290263	3.332821608	3.045852661	106552.7422
0.685348132	3.328769922	3.053464174	106529.3594
0.685405979	3.291271687	3.124225617	106523.9297
0.685463904	-0.325652599	16.5829277	106526.2813
0.685521727	-0.303978175	16.39251709	106520.2422
